mf,ppm,unsat
C5H10F3K2O4,-6.685099999999999,-1.5
C8H4FN5OS2,6.6919,9.0
CH13N6S5,-6.7126,-1.5
C6H7NO9S,6.7729,4.0
C16H3FKO,-6.8049,14.5
C5H5F2N4O3P2,-6.8229999999999995,5.5
C5H6F5N2OS2,6.8441,1.5
CH14N4O2P5,-6.8634,-0.5
C9H10FKNOPS,6.8833,5.0
C8H8F3NP2S,-6.8845,5.0
C11H11K2OS,-6.8989,5.5
C2H3F4N5O4S,6.9056,2.0
C10H11NP4,6.9368,8.0
C6H7KN4O4P,6.9448,5.5
C14H2F2NOP,6.9773000000000005,14.0
C3H9F4KNO4P,7.097,-2.0
C2H10F2N5PS3,-7.1699,0.0
C14H3FO3P,-7.2354,13.5
C2H4F3N4O6S,-7.3069999999999995,1.5
C9H11KO3PS,-7.3294,4.5
CH13FN5P5,7.3492,0.0
C5H7F4NO3S2,-7.3686,1.0
C8H7K2N4O2,7.3753,6.5
C5H4F3N5OP2,7.3896999999999995,6.0
C8H4F6KO,-7.3954,3.5
C13H5N2OS2,7.4346,12.5
C8H5N4O3S2,-7.5208,8.5
C5H9F4K2NO2,7.5276,-1.0
C2H6F7N2OP2,7.542,-1.5
C11H2F2KN3O,-7.5476,11.0
C3H7K2N6O4,-7.5801,2.5
C11H8FNS3,-7.5824,8.0
C7H11KN3P3,-7.5881,5.0
C3H13FN2O3P3S,7.6079,-0.5
C3H7F4N4P2S,-7.6273,1.5
C6H10FK2N3OS,-7.6415999999999995,2.0
C7H4F3N2O4S,7.6484,5.5
H10N5O6P3,7.6693999999999996,0.0
C6H16KNS4,-7.6764,-1.0
C4HF2N5O7,7.7099,6.0
C7H11O5P2S,-7.760000000000001,3.5
C6H4F6O3P,-7.825900000000001,2.5
C4H7FN6OPS2,7.8471,4.5
CH3F6N2O7,7.8622000000000005,-1.5
C2H10N2O9PS,7.9281,-0.5
C9H2F2N3O3P,-7.978199999999999,10.0
CH7KN6O6P,-8.0107,1.5
C5H11N3O2P4,-8.0187,4.0
C5H13FKN2OP2S,8.038499999999999,0.5
C12H5F3PS,-8.0397,9.5
C4H10FKN3O3PS,-8.0722,1.0
C6H14N2P5,8.092,3.5
C2H10KN5O4P2,8.1,1.0
C4H16NO2PS4,-8.1069,-2.0
C10H5F2N2OP2,8.1325,9.5
C7H13F2KPS2,-8.1337,0.5
C3H3F7KN3O,-8.1381,0.0
C4H10FO8S2,-8.2441,-0.5
C6HF3KN6O,-8.2904,7.5
C6H7F2N4S3,-8.325099999999999,4.5
C2H10FKN6P3,-8.3309,1.5
C4H10KN2O7S,8.3587,0.5
CH9F2K2N6OS,-8.384400000000001,-1.5
C9H2FN2O7,8.4527,9.5
H6F4KN6O2S,8.4914,-1.5
C2H10FN3O5P2S,-8.502799999999999,0.0
C4H10K2N5O2P,8.5305,2.0
CH7F3N6OP3,8.5449,1.5
C5H13F2O2P2S2,-8.564300000000001,-0.5
CH3F7N3O3P,-8.5687,-1.0
C9H8N3OPS2,8.5898,8.0
C4H6F8PS,-8.6302,-1.5
C4HF3N6O3P,-8.721,6.5
C2F9N3O2,8.7377,0.0
C6H10F4OPS2,8.7421,0.5
C11H8KN2P2,-8.7434,9.5
H10FN6O2P4,-8.761500000000002,0.5
C7H4F4N3PS,-8.782499999999999,6.0
C3H7F3N3O4PS,8.8036,1.0
H4F2N6O7P,8.8651,1.5
C10H2N6PS,-8.9348,13.5
C6H10K3N5,8.9611,3.0
C2H6F4KN2O6,-9.0136,-1.5
C5H4KN5O6,-9.1659,6.0
C9H8N2O2P3,-9.1739,8.5
C5H13F2NOS4,9.1994,-1.0
C8H7FKN2O3S,-9.227400000000001,5.5
C5H7F3KN3O2S,9.2341,2.0
C2H10FN4O4S3,9.2609,-0.5
C8H13O2S4,-9.2622,2.5
C6H8F2N3OP3,9.2877,5.0
C2H4F2KN6O5,9.2957,2.5
C3H9F5KN2P2,-9.3339,-1.5
C6H12F2K3NO,-9.3483,-1.0
C7HF8O2,9.4804,3.5
C6H7FKN5P2,-9.4861,6.0
C4H17O3P4S,9.5059,-1.5
C2H3F5N6PS,-9.5253,2.5
C8H8F2O4PS,9.5463,4.5
C3H4N5O8P,-9.5965,5.0
C5H5FN3O7P,9.6079,5.0
C6H7FN2O5PS,-9.658,4.5
C5F7N2O3,-9.7239,3.5
C5H11N4OP2S2,9.745000000000001,3.5
C4H12F2K2NO3P,-9.7788,-2.0
C15H5KNP,-9.8986,14.0
C4H7FN5O2P3,-9.916699999999999,5.0
C6H17KOP3S,9.9364,-0.5
C11HF4N2S,-9.9377,10.5
H9N6O5S3,-9.9434,-0.5
C3H6F2KN5O3S,-9.9702,2.0
C10H8F2KO2S,9.976899999999999,5.5
C7H11NO4S3,10.0037,3.0
C3H12FN3O2S4,-10.005,-1.0
C11H9FOP3,10.0304,8.5
C6H9F3KN2S2,-10.031699999999999,1.5
C7H5FKN3O5,10.038400000000001,6.0
C15F3O2,10.0709,14.5
C2H13K3N6P,10.1163,-1.5
C4H7F5KO5,10.1907,-1.5
C13H5NO2P2,-10.3292,13.0
C10H6O7P,10.3506,8.5
CH6F2N5O5PS,-10.4008,1.0
C2H11F2N4OP4,10.4429,0.5
C4H9F3N2O2PS2,-10.462299999999999,0.5
