latitude,longitude,significant_hit_count,geo_location_name,environment_biome
-29.505,37.96,1357,,marine biome (ENVO:00000447)
-29.502,37.989,48,,marine biome (ENVO:00000447)
-29.499,54.577,0,,
-29.496,54.499,1,,
-29.399,153.483,0,,
-29.398,-3.053,0,,
-29.365,43.232,0,,
-29.359,154.19,3,Australia:East Australia Current,
-29.335,100.763,0,,
-29.178,99.878,0,,
-29.164,154.476,12,Australia:Tasman Sea - shelf,
-29.162,154.477,206,Australia:Tasman Sea - shelf,
-29.138,154.314,68,Australia:East Australia Current,
-29.096,-103.006,0,,
-29.054,-35.808,25,,ocean_biome
-28.957,54.499,0,,
-28.86,98.06,0,,
-28.701,97.179,1,,
-28.538,96.263,0,,
-28.324,54.496,0,,
-28.002,155.034,100,Australia:Tasman Sea - shelf,
-28.002,155.035,1,Australia:Tasman Sea - shelf,
-27.953,54.496,2,,
-27.923,155.142,439,Australia:Tasman Sea - shelf,
-27.923,155.143,729,Australia:Tasman Sea - shelf,
-27.923,155.144,309,Australia:Tasman Sea - shelf,
-27.712,153.31,607,Australia,Estuarine
-27.711,95,0,,
-27.705,153.236,231,Australia,Estuarine
-27.701,153.323,639,Australia,Estuarine
-27.698,153.25,904,Australia,Estuarine
-27.492,-5.955,0,,
-27.411,-28.411,0,,
-27.345,153.562,127,Australia:North Stradbroke Island,
-27.344,153.197,0,,
-27.325,95,0,,
-27.001,-101.5,0,,
-26.985,153.879,6,Australia:Tasman Sea,
-26.982,153.881,6,Australia:Tasman Sea,
-26.816,2.847,0,,
-26.686,153.204,420,Australia,Estuarine
-26.669,54.488,0,,
-26.669,54.489,1,,
-26.655,-27.655,0,,
-26.64,153.08,52,Australia,Estuarine
-26.636,153.059,363,Australia,Estuarine
-26.578,153.019,371,Australia,Estuarine
-26.578,153.066,427,Australia,Estuarine
-26.563,153.974,35,Australia,Estuarine
-26.395,153.06,120,Australia,Estuarine
-26.375,153.04,585,Australia,Estuarine
-26.336,153.035,56,Australia,Estuarine
-26.318,152.996,1195,Australia,Estuarine
-26.249,155.616,0,,
-26.248,-103.961,1,Pacific Ocean,marine biome (ENVO:00000447)
-26.191,153.011,274,Australia,Estuarine
-26.087,-34.258,59,,ocean_biome
-26.063,54.502,4,,
-26.037,50.13,0,,
-26.014,-67.03,0,Argentina,Montane grasslands and shrublands
-26.012,54.5,0,,
-26.01,12.573,3,Namibia,temperate marine upwelling biome
-26.009,-67.043,0,Argentina,small lake biome
-26,-101.5,0,,
-25.99,95,0,,
-25.905,95,0,,
-25.826,-111.729,118,,marine biome (ENVO:00000447)
-25.808,-111.691,1273,,marine biome (ENVO:00000447)
-25.805,-111.72,6,,marine biome (ENVO:00000447)
-25.659,54.504,1,,
-25.631,95,0,,
-25.611,-67.672,0,,
-25.582,54.504,0,,
-25.514,-67.577,1,Argentina,Puna
-25.5,13.45,0,Namibia,temperate marine upwelling biome
-25.335,95,0,,
-25.33,54.505,0,,
-25.08,-9.558,0,,
-25.001,-101.501,0,,
-24.996,54.5,5,,
-24.976,159.07,0,,
-24.965,95,1,,
-24.947,54.512,0,,
-24.906,-25.903,0,,
-24.732,95,1,,
-24.661,54.502,0,,
-24.552,153.631,3,Australia:Coral Sea,
-24.551,153.631,19,Australia:Coral Sea,
-24.526,-68.205,5,Argentina,Xeric basin biome
-24.464,95,0,,
-24.334,54.519,0,,
-24.291,0.419,0,,
-24.137,95,0,,
-24.055,14.269,0,Namibia,temperate marine upwelling biome
-24.054,54.512,2,,
-24,-25,0,,
-23.962,-103,1,,
-23.946,-10.925,0,,
-23.9,-103,0,,
-23.88,95,0,,
-23.73,-68.247,0,Chile,Xeric basin biome
-23.692,162.533,0,,
-23.656,54.515,2,,
-23.656,54.516,8,,
-23.651,-46.621,8,Brazil,Small lake biome
-23.5,-103,0,,
-23.454,151.886,0,,
-23.442,151.913,0,Australia,coral reef
-23.353,-11.57,0,,
-23.333,54.502,1,,
-23.281,-129.395,4,,marine biome (ENVO:00000447)
-23.232,52.313,0,,
-23.223,-129.599,1504,,marine biome (ENVO:00000447)
-23.219,-129.5,26,,marine biome (ENVO:00000447)
-23.138,-68.247,0,Chile,Small lake biome
-23.136,167.083,0,Australia:Tasman Sea - shelf,
-23.016,95,0,,
-23,-103,0,,
-22.993,54.503,0,,
-22.917,54.503,2,,
-22.712,167.308,0,,
-22.707,167.295,0,,
-22.473,-32.749,24,,ocean_biome
-22.453,95,0,,
-22.398,166.96,0,,
-22.38,113.78,234,Australia,aquatic
-22.337,40.341,8,,marine biome (ENVO:00000447)
-22.015,54.506,2,,
-22,-103,0,,
-21.995,54.52,1,,
-21.963,159.642,10,Australia:Tasman Sea - shelf,
-21.88,95,0,,
-21.499,54.317,0,,
-21.468,-1.79,0,,
-21.22,163.168,0,Australia:Tasman Sea - shelf,
-21.205,54.43,1,,
-21.2,-159.814,0,,
-21.146,-104.787,0,,marine biome (ENVO:00000447)
-21.144,171.295,6,Australia:Tasman Sea - shelf,
-21.029,-35.35,230,,marine biome (ENVO:00000447)
-21.001,54.509,2,,
-21,-103,0,,
-20.998,-14.111,0,,
-20.935,-35.18,0,,marine biome (ENVO:00000447)
-20.932,-35.179,1290,,marine biome (ENVO:00000447)
-20.828,-14.298,0,,
-20.763,95,0,,
-20.708,-163.108,0,,
-20.505,54.516,0,,
-20.409,-3.176,11,,marine biome (ENVO:00000447)
-20.408,-3.164,807,,marine biome (ENVO:00000447)
-20.38,-25.059,0,,
-20.096,-70.8,0,Pacific Ocean,marine biome (ENVO:00000447)
-20.082,-70.8,1,Pacific Ocean,marine biome (ENVO:00000447)
-20.007,160.892,41,Australia:Tasman Sea - shelf,
-19.997,54.497,2,,
-19.49,54.671,0,,
-19.308,147.618,17,Australia:Yongala NRS,
-19.264,-177.972,0,,
-19.154,146.643,286,Australia: Queensland: Magnetic Island:Geoffrey Bay,
-19.083,95,0,,
-19.065,148.978,9,Australia:Coral Sea,
-19.056,148.976,7,Australia:Coral Sea,
-19.051,178.158,0,,
-19.004,54.829,0,,
-19,-103.002,0,,
-18.86,54.875,1,,
-18.483,-173.991,0,,
-18.339,-25.087,0,,
-18.233,95,0,,
-18.122,54.999,1,,
-18.019,55.006,2,,
-17.999,-103,0,,
