Longitude_Rounded,Latitude_Rounded,Hit_Count,Geographic_Location,,,,,,,,,,,,,,,
32.6061,0.3193,18,Uganda,,,,,,,,,,,,,,,
32.859,39.933,2,Turkey,,,,,,,,,,,,,,,
32.911,-2.4711,135,Tanzania,,,,,,,,,,,,,,,
33.8039,-13.051,16,Malawi,,,,,,,,,,,,,,,
34.0252,-11.7634,12,Malawi,,,,,,,,,,,,,,,
34.7914,31.253,28,Israel,,,,,,,,,,,,,,,
35.02,-15.4703,45,Malawi,,,,,,,,,,,,,,,
35.213,31.768,1,Israel,,,,,,,,,,,,,,,
35.37,33.5641,2,Lebanon,,,,,,,,,,,,,,,
35.5025,-15.4528,26,Malawi,,,,,,,,,,,,,,,
35.5831,33.5422,1,Lebanon,,,,,,,,,,,,,,,
35.6398,34.015,2,Lebanon,,,,,,,,,,,,,,,
35.8144,34.4443,3,Lebanon,,,,,,,,,,,,,,,
36.821,1.292,1,Kenya,,,,,,,,,,,,,,,
37.0118,-1.2561,28,Kenya,,,,,,,,,,,,,,,
37.329,-3.343,24,Tanzania,,,,,,,,,,,,,,,
37.427,-3.3745,30,Tanzania,,,,,,,,,,,,,,,
37.6735,-6.7866,53,Tanzania,,,,,,,,,,,,,,,
38.7574,8.9191,12,Ethiopia,,,,,,,,,,,,,,,
39.1186,22.2987,2,Saudi Arabia,,,,,,,,,,,,,,,
42.6758,42.2393,44,Georgia,,,,,,,,,,,,,,,
44.827,41.715,1,Georgia,,,,,,,,,,,,,,,
-48.49,-1.455,55,Brazil,,,,,,,,,,,,,,,
51.389,35.689,10,Iran,,,,,,,,,,,,,,,
51.439,35.5686,4,Iran,,,,,,,,,,,,,,,
52.6354,29.5453,12,Iran,,,,,,,,,,,,,,,
57.4338,-20.3721,37,Mauritius,,,,,,,,,,,,,,,
67.009,24.861,23,Pakistan,,,,,,,,,,,,,,,
67.0751,24.8537,21,Pakistan,,,,,,,,,,,,,,,
68.3633,25.3746,9,Pakistan,,,,,,,,,,,,,,,
-74.23,4.706,1,Colombia,,,,,,,,,,,,,,,
74.7427,13.3576,29,India,,,,,,,,,,,,,,,
-75.697,45.421,13,Canada,,,,,,,,,,,,,,,
76.267,9.931,8,India,,,,,,,,,,,,,,,
76.3051,9.7914,2,India,,,,,,,,,,,,,,,
76.851,43.222,2,Kazakhstan,,,,,,,,,,,,,,,
76.8889,43.4039,30,Kazakhstan,,,,,,,,,,,,,,,
-77.042,-12.046,1,Peru,,,,,,,,,,,,,,,
-79.383,43.653,36,Canada,,,,,,,,,,,,,,,
79.8513,6.9132,12,Sri Lanka,,,,,,,,,,,,,,,
79.874,6.9312,20,Sri Lanka,,,,,,,,,,,,,,,
79.8799,6.9116,25,Sri Lanka,,,,,,,,,,,,,,,
79.8852,6.8059,41,Sri Lanka,,,,,,,,,,,,,,,
79.8971,7.1421,36,Sri Lanka,,,,,,,,,,,,,,,
85.3001,27.7008,9,Nepal,,,,,,,,,,,,,,,
85.324,27.717,38,Nepal,,,,,,,,,,,,,,,
-87.629,41.878,27,USA,,,,,,,,,,,,,,,
-89.436,-0.867,56,Ecuador,,,,,,,,,,,,,,,
90.4514,23.6834,13,Bangladesh,,,,,,,,,,,,,,,
95.712,37.09,48,USA,,,,,,,,,,,,,,,
100.3091,5.4356,12,Malaysia,,,,,,,,,,,,,,,
100.3882,5.438,31,Malaysia,,,,,,,,,,,,,,,
100.4859,13.7579,34,Thailand,,,,,,,,,,,,,,,
