mf,ppm,unsat
C24H14FKNO4P2,-1.3278,18.5
C11H20FN3O10PS3,1.3334,3.5
C9H12F12N4S3,1.3363,0.0
C20H10F5N2O4PS,-1.3488,15.0
C13H16F8KN3PS2,1.3573,3.5
C19H9F4N2O8P,1.3696,15.0
C10H19F6N4O2PS4,1.3717,1.0
C19H3F11N2O2,-1.3843,14.0
C12H21F2N3O6PS4,-1.385,3.5
C14H23F2KN3O2P2S3,1.3928,4.5
C15H18F4KN2O4PS2,-1.3994000000000002,6.0
C18H8F9N3PS,1.4079,12.5
C11H14F8N3O4S3,-1.4205,2.5
C22H12F5KN2P2,1.4289,16.0
C14H11F10KN2O2S,-1.4349,5.0
C19H15F3N3O2P2S2,1.4434,13.5
C14H17F9OS4,-1.4536,2.0
C26H11F2N2OPS2,-1.4639,22.0
C27H16O2S4,1.4675,20.0
C15H12F5KNO10,-1.4731999999999998,7.5
C27H10FKN2O3S,1.4862,23.0
C15H10F13PS,1.4898,5.0
C21H19FKN2OPS3,-1.5144,13.0
C7H17F7N2O9P2S,-1.516,-2.0
C12H7F12N3O3P,1.5229000000000001,5.5
C16H17F7O2P2S2,1.5253,6.0
C16H23F2KO5S4,1.5319,4.0
C17H15F5N3OS4,-1.5354999999999999,9.5
C32H2F2N2O3,1.5368,32.0
C26H5F3NO7,-1.5375999999999999,23.5
C18H10FKN4O10,-1.5551,15.0
C13H14F6N3O5P2S,1.5584,6.5
C13H20FKN3O8S3,1.565,4.5
C18H16N2O9S3,-1.5738,12.0
C21H15F3O5S3,1.5825,13.0
C21H13F2KNO7S,-1.5882,14.5
C21H9F4KN2O6,1.6012,16.0
C12H19F6KN4S4,1.6033,2.0
C9H9F16O3P,1.6048,-2.0
C18H12F2N3O8S2,1.6156000000000001,13.5
C13H18F4N2O6P2S2,-1.631,5.0
C10H16F10O5P2S,1.6403,-1.0
C16H15F6KNO4P2,-1.6454,7.5
C32H6NO4S,-1.6526,30.5
C17H11F7N4S3,1.6539,11.0
C12H11F10N2O4PS,-1.6665,4.0
C7H13F9N3O8P2,1.6734,-0.5
C21H15F3KN3PS2,1.675,14.5
C18H18FN4O2PS4,1.6894,12.0
C15H14F6O8S2,1.6975,6.0
C11H4F16N2O2,-1.702,3.0
C27H8F4NOP2,-1.7099,23.5
C26H7F4N3PS,1.7255,23.5
C19H13F2KN4O4P2,-1.7274,15.0
C16H21O10PS3,1.7329999999999999,7.0
C14H13F11NS3,1.7358,3.5
C19H19FN2O3P2S3,-1.746,12.0
C30H11KN2P2,1.7466,27.0
C14H7F12KN3O,1.7545000000000002,6.5
C18H17F7KPS2,1.7569000000000001,7.0
C22H16F3KNOP2S,-1.7605,14.5
C11H10F10N4O3S2,1.7689,4.0
C15H20F5NO2PS4,1.7713,4.5
C18H12F7N2OPS2,-1.7815,11.0
C15H14F6KN3O3PS,1.79,7.5
C30H6N4OP2,-1.7917999999999998,31.0
C19H24FKO2P2S3,1.7924,8.0
C14H27KN2O3P2S4,-1.7966000000000002,3.0
C12H17F4N4O5PS3,1.8044,5.0
C23H9F8PS,1.8075,16.0
C19H13F2NO9PS,-1.8197999999999999,13.5
C16H21KN3O5P2S2,1.8255,8.5
C13H20F6KN2OPS3,-1.8321,2.0
C11H9F16KO,1.8363999999999998,-1.0
C20H6F7N3O3P,1.8406,16.5
C24H16F2O2P2S2,1.8429,17.0
C9H16F10N3OS4,-1.8531000000000002,-1.5
C18H6F8NO7,-1.8553,12.5
C14H21FKNO9PS2,-1.8703999999999998,4.5
C12H16F10KO3PS,1.8719000000000001,0.0
C10H11F6KN4O10,-1.8728,4.0
C21H13FN3O5P2S,1.876,17.5
C10H17F5N2O9S3,-1.8915,1.0
C9H13F9KN3O6P,1.905,0.5
C13H14F7KNO7S,-1.9059000000000001,3.5
C13H23F4KO5P2S2,1.9074000000000002,1.0
C6H16F7N4O8PS2,1.9194000000000002,-2.0
C20H18FKN4S4,1.9209999999999998,13.0
C10H26F2NO7P2S4,1.9218,-1.5
C17H8F11O3P,1.9224999999999999,9.0
C21H4F4N4O7,-1.9371999999999998,20.0
C10H20F3KN3O8P2S,1.9405,1.5
C28H11FKO4P,-1.9491999999999998,23.0
C7H23FN4O10P2S3,1.9549,-1.0
C18H15F5O5P2S,1.9579,10.0
C18H21KO8S3,1.9646,8.0
