Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
82.867443,73.354725,0.0,0.0,0.0,0.0
82.871915,71.040642,0.0,0.0,0.0,0.0
82.924528,61.467222,0.0,0.0,0.0,0.0
82.945032,65.647459,0.0,0.0,0.0,0.0
82.948614,88.744496,0.0,0.0,0.0,0.0
82.97298,71.504008,0.0,0.0,0.0,0.0
82.976026,70.73064,0.0,0.0,0.0,0.0
82.987586,92.644254,0.0,0.0,0.0,0.0
82.992964,66.731743,0.0,0.0,0.0,0.0
83.012776,73.563891,0.0,0.0,0.0,0.0
83.146086,78.468488,0.0,0.0,0.0,0.0
83.173417,79.104477,0.0,0.0,0.0,0.0
83.176204,59.399927,0.0,0.0,0.0,0.0
83.196802,70.351757,0.0,0.0,0.0,0.0
83.197611,116.238084,0.0,0.0,0.0,0.0
83.297831,84.746303,0.0,0.0,0.0,0.0
83.318022,63.777451,0.0,0.0,0.0,0.0
83.336057,83.697757,0.0,0.0,0.0,0.0
83.410963,72.472221,0.0,0.0,0.0,0.0
83.437159,76.950446,0.0,0.0,0.0,0.0
83.506321,72.509792,0.0,0.0,0.0,0.0
83.513107,100.485314,0.0,0.0,0.0,0.0
83.523331,68.21287,0.0,0.0,0.0,0.0
83.543153,73.103049,0.0,0.0,0.0,0.0
83.544329,88.008975,0.0,0.0,0.0,0.0
83.544963,71.574038,0.0,0.0,0.0,0.0
83.676291,62.750155,0.0,0.0,0.0,0.0
83.685094,67.467706,0.0,0.0,0.0,0.0
83.71723,59.613697,0.0,0.0,0.0,0.0
83.731943,88.136538,0.0,0.0,0.0,0.0
83.745933,81.870124,0.0,0.0,0.0,0.0
83.748749,67.406014,0.0,0.0,0.0,0.0
83.77365,74.632321,0.0,0.0,0.0,0.0
83.775832,67.290825,0.0,0.0,0.0,0.0
83.843231,70.050313,0.0,0.0,0.0,0.0
84.002,78.517463,0.0,0.0,0.0,0.0
84.00273,89.312285,0.0,0.0,0.0,0.0
84.066931,132.684809,0.0,0.0,0.0,0.0
84.10898,67.499567,0.0,0.0,0.0,0.0
84.123156,68.639893,0.0,0.0,0.0,0.0
84.166986,67.331558,0.0,0.0,0.0,0.0
84.214607,79.039888,0.0,0.0,0.0,0.0
84.310705,92.712968,0.0,0.0,0.0,0.0
84.323922,74.556625,0.0,0.0,0.0,0.0
84.326768,66.896842,0.0,0.0,0.0,0.0
84.372044,68.206047,0.0,0.0,0.0,0.0
84.411472,59.473143,0.0,0.0,0.0,0.0
84.439336,78.896792,0.0,0.0,0.0,0.0
84.459576,72.551447,0.0,0.0,0.0,0.0
84.484335,75.03739,0.0,0.0,0.0,0.0
84.506065,63.572409,0.0,0.0,0.0,0.0
84.544389,62.221436,0.0,0.0,0.0,0.0
84.548444,88.220449,0.0,0.0,0.0,0.0
84.561809,79.293649,0.0,0.0,0.0,0.0
84.613087,100.379517,0.0,0.0,0.0,0.0
84.624622,66.509346,0.0,0.0,0.0,0.0
84.655731,82.562875,0.0,0.0,0.0,0.0
84.66672,74.996887,0.0,0.0,0.0,0.0
84.670877,63.57554,0.0,0.0,0.0,0.0
84.683532,82.721642,0.0,0.0,0.0,0.0
84.715598,57.684715,0.0,0.0,0.0,0.0
84.805796,61.620523,0.0,0.0,0.0,0.0
84.868881,93.136129,0.0,0.0,0.0,0.0
84.925634,88.563921,0.0,0.0,0.0,0.0
84.932593,72.897165,0.0,0.0,0.0,0.0
84.935005,71.366246,0.0,0.0,0.0,0.0
84.940481,73.871667,0.0,0.0,0.0,0.0
84.985416,62.628102,0.0,0.0,0.0,0.0
85.03364,77.04064,0.0,0.0,0.0,0.0
85.105914,73.203401,0.0,0.0,0.0,0.0
85.167191,64.022563,0.0,0.0,0.0,0.0
85.185084,106.23533,0.0,0.0,0.0,0.0
85.213985,77.496156,0.0,0.0,0.0,0.0
85.228535,67.002813,0.0,0.0,0.0,0.0
85.247566,67.852857,0.0,0.0,0.0,0.0
85.280794,71.491838,0.0,0.0,0.0,0.0
85.288637,74.39976,0.0,0.0,0.0,0.0
85.308903,77.136382,0.0,0.0,0.0,0.0
85.311892,86.441946,0.0,0.0,0.0,0.0
85.318899,70.976713,0.0,0.0,0.0,0.0
85.374888,74.989725,0.0,0.0,0.0,0.0
85.416519,75.989687,0.0,0.0,0.0,0.0
85.471949,70.659895,0.0,0.0,0.0,0.0
85.492561,88.828166,0.0,0.0,0.0,0.0
85.493217,92.965876,0.0,0.0,0.0,0.0
85.505307,82.016451,0.0,0.0,0.0,0.0
85.548347,72.111147,0.0,0.0,0.0,0.0
85.551911,74.808996,0.0,0.0,0.0,0.0
85.55557,59.640093,0.0,0.0,0.0,0.0
85.578747,73.91149,0.0,0.0,0.0,0.0
85.609351,76.342114,0.0,0.0,0.0,0.0
85.612638,163.438315,0.0,0.0,0.0,0.0
85.613107,82.248081,0.0,0.0,0.0,0.0
85.657168,96.341241,0.0,0.0,0.0,0.0
85.677659,93.918436,0.0,0.0,0.0,0.0
85.710386,66.616911,0.0,0.0,0.0,0.0
85.714807,66.928903,0.0,0.0,0.0,0.0
85.714996,73.002542,0.0,0.0,0.0,0.0
85.715184,73.481088,0.0,0.0,0.0,0.0
85.729485,60.311092,0.0,0.0,0.0,0.0
85.742849,138.580817,0.0,0.0,0.0,0.0
85.819234,91.876648,0.0,0.0,0.0,0.0
85.840915,78.781975,0.0,0.0,0.0,0.0
85.859398,72.888935,0.0,0.0,0.0,0.0
85.905253,78.626985,0.0,0.0,0.0,0.0
85.909973,60.474744,0.0,0.0,0.0,0.0
85.938677,65.241902,0.0,0.0,0.0,0.0
85.99178,74.415621,0.0,0.0,0.0,0.0
86.070391,84.157244,0.0,0.0,0.0,0.0
86.08071,65.752344,0.0,0.0,0.0,0.0
86.082604,69.767686,0.0,0.0,0.0,0.0
86.087622,78.032618,0.0,0.0,0.0,0.0
86.160106,62.860831,0.0,0.0,0.0,0.0
86.215597,70.293928,0.0,0.0,0.0,0.0
86.219868,84.524186,0.0,0.0,0.0,0.0
86.241037,79.517539,0.0,0.0,0.0,0.0
86.241607,72.926445,0.0,0.0,0.0,0.0
86.259079,75.000076,0.0,0.0,0.0,0.0
86.313335,75.683007,0.0,0.0,0.0,0.0
86.331875,98.81643,0.0,0.0,0.0,0.0
86.383154,100.133142,0.0,0.0,0.0,0.0
86.385343,75.802794,0.0,0.0,0.0,0.0
86.405145,71.089654,0.0,0.0,0.0,0.0
86.431811,74.380122,0.0,0.0,0.0,0.0
86.461921,94.44061,0.0,0.0,0.0,0.0
86.466115,97.432521,0.0,0.0,0.0,0.0
86.509214,78.153603,0.0,0.0,0.0,0.0
86.534592,72.567518,0.0,0.0,0.0,0.0
86.550818,74.092207,0.0,0.0,0.0,0.0
86.555686,77.262799,0.0,0.0,0.0,0.0
86.574878,66.175531,0.0,0.0,0.0,0.0
86.632777,95.688982,0.0,0.0,0.0,0.0
86.659549,66.792051,0.0,0.0,0.0,0.0
86.672079,67.184252,0.0,0.0,0.0,0.0
86.682889,69.876288,0.0,0.0,0.0,0.0
86.737067,69.402283,0.0,0.0,0.0,0.0
86.847781,66.244929,0.0,0.0,0.0,0.0
86.855457,77.222952,0.0,0.0,0.0,0.0
86.946788,64.225376,0.0,0.0,0.0,0.0
87.006697,101.407942,0.0,0.0,0.0,0.0
87.019975,70.193266,0.0,0.0,0.0,0.0
87.079382,80.749509,0.0,0.0,0.0,0.0
87.159875,70.763976,0.0,0.0,0.0,0.0
87.180715,71.138613,0.0,0.0,0.0,0.0
87.209672,99.163638,0.0,0.0,0.0,0.0
87.210059,90.060967,0.0,0.0,0.0,0.0
87.243281,96.827126,0.0,0.0,0.0,0.0
87.276136,82.535023,0.0,0.0,0.0,0.0
87.303303,81.679027,0.0,0.0,0.0,0.0
87.315586,71.837892,0.0,0.0,0.0,0.0
87.344707,120.121043,0.0,0.0,0.0,0.0
87.348675,77.541398,0.0,0.0,0.0,0.0
87.360677,75.209016,0.0,0.0,0.0,0.0
87.361354,75.469555,0.0,0.0,0.0,0.0
