Mass,Intensity,ControlMax__ab1_1_peaks,ControlMax__mc_1_peaks,ControlMax__pc1_1_peaks,Average_Control_Intensity
76.342731,37.183856,0.0,0.0,0.0,0.0
76.350876,37.114625,0.0,0.0,0.0,0.0
76.356967,40.31308,0.0,0.0,0.0,0.0
76.409515,37.021816,0.0,0.0,0.0,0.0
76.432325,34.516083,0.0,0.0,0.0,0.0
76.49653,32.850932,0.0,0.0,0.0,0.0
76.500575,44.801023,0.0,0.0,0.0,0.0
76.506763,44.334181,0.0,0.0,0.0,0.0
76.509381,45.497761,0.0,0.0,0.0,0.0
76.559069,35.378855,0.0,0.0,0.0,0.0
76.577973,35.549915,0.0,0.0,0.0,0.0
76.598235,32.875995,0.0,0.0,0.0,0.0
76.637431,37.179136,0.0,0.0,0.0,0.0
76.64618,31.707915,0.0,0.0,0.0,0.0
76.649601,39.784654,0.0,0.0,0.0,0.0
76.690986,42.445762,0.0,0.0,0.0,0.0
76.69855,39.727175,0.0,0.0,0.0,0.0
76.722764,41.199632,0.0,0.0,0.0,0.0
76.761417,36.801164,0.0,0.0,0.0,0.0
76.813107,33.293882,0.0,0.0,0.0,0.0
76.813666,39.825872,0.0,0.0,0.0,0.0
76.817178,35.649511,0.0,0.0,0.0,0.0
76.855423,33.896816,0.0,0.0,0.0,0.0
76.856062,41.781866,0.0,0.0,0.0,0.0
76.8575,41.25547,0.0,0.0,0.0,0.0
76.90481,36.369762,0.0,0.0,0.0,0.0
76.924962,40.078615,0.0,0.0,0.0,0.0
76.951203,38.780596,0.0,0.0,0.0,0.0
76.961767,44.361104,0.0,0.0,0.0,0.0
76.978418,40.21717,0.0,0.0,0.0,0.0
76.986025,44.527183,0.0,0.0,0.0,0.0
77.002123,43.453569,0.0,0.0,0.0,0.0
77.02015,41.19077,0.0,0.0,0.0,0.0
77.03193,41.067975,0.0,0.0,0.0,0.0
77.085579,34.998807,0.0,0.0,0.0,0.0
77.090794,41.778356,0.0,0.0,0.0,0.0
77.094566,36.227105,0.0,0.0,0.0,0.0
77.119529,37.505091,0.0,0.0,0.0,0.0
77.127558,37.462068,0.0,0.0,0.0,0.0
77.163465,40.71518,0.0,0.0,0.0,0.0
77.165715,43.786492,0.0,0.0,0.0,0.0
77.183557,43.766906,0.0,0.0,0.0,0.0
77.196984,47.478887,0.0,0.0,0.0,0.0
77.223364,32.067234,0.0,0.0,0.0,0.0
77.237847,45.901159,0.0,0.0,0.0,0.0
77.244849,37.505219,0.0,0.0,0.0,0.0
77.247585,34.557111,0.0,0.0,0.0,0.0
77.285267,40.481371,0.0,0.0,0.0,0.0
77.2988,35.502176,0.0,0.0,0.0,0.0
77.324185,41.890645,0.0,0.0,0.0,0.0
77.330956,42.984889,0.0,0.0,0.0,0.0
77.339422,42.770637,0.0,0.0,0.0,0.0
77.352324,36.929246,0.0,0.0,0.0,0.0
77.363617,36.848317,0.0,0.0,0.0,0.0
77.388469,34.05902,0.0,0.0,0.0,0.0
77.400011,39.362715,0.0,0.0,0.0,0.0
77.404047,35.184528,0.0,0.0,0.0,0.0
77.532732,35.28282,0.0,0.0,0.0,0.0
77.534675,37.050181,0.0,0.0,0.0,0.0
77.53686,41.180948,0.0,0.0,0.0,0.0
77.543983,39.571631,0.0,0.0,0.0,0.0
77.58172,39.974401,0.0,0.0,0.0,0.0
77.670015,39.112993,0.0,0.0,0.0,0.0
77.700941,43.53558,0.0,0.0,0.0,0.0
77.711254,38.914261,0.0,0.0,0.0,0.0
77.721975,33.949693,0.0,0.0,0.0,0.0
77.731643,37.44474,0.0,0.0,0.0,0.0
77.78147,44.898373,0.0,0.0,0.0,0.0
77.785698,48.543501,0.0,0.0,0.0,0.0
77.793263,33.492238,0.0,0.0,0.0,0.0
77.805303,37.170523,0.0,0.0,0.0,0.0
77.838834,32.80619,0.0,0.0,0.0,0.0
77.844777,40.266245,0.0,0.0,0.0,0.0
77.847546,33.782379,0.0,0.0,0.0,0.0
77.85121,32.336196,0.0,0.0,0.0,0.0
77.875157,36.035274,0.0,0.0,0.0,0.0
77.889334,36.182848,0.0,0.0,0.0,0.0
77.919495,33.887856,0.0,0.0,0.0,0.0
77.952692,42.744941,0.0,0.0,0.0,0.0
78.001017,33.917368,0.0,0.0,0.0,0.0
78.031569,79.213679,0.0,0.0,0.0,0.0
78.033776,2516.194211,0.0,0.0,0.0,0.0
78.058624,34.801218,0.0,0.0,0.0,0.0
78.12358,40.129012,0.0,0.0,0.0,0.0
78.136925,37.145473,0.0,0.0,0.0,0.0
78.17403,36.297016,0.0,0.0,0.0,0.0
78.202553,37.870912,0.0,0.0,0.0,0.0
78.236997,41.96313,0.0,0.0,0.0,0.0
78.245776,38.855336,0.0,0.0,0.0,0.0
78.310145,60.210007,0.0,0.0,0.0,0.0
78.413102,35.370254,0.0,0.0,0.0,0.0
78.465151,36.225943,0.0,0.0,0.0,0.0
78.476029,41.108748,0.0,0.0,0.0,0.0
78.480644,40.294932,0.0,0.0,0.0,0.0
78.483941,39.029324,0.0,0.0,0.0,0.0
78.506036,42.335436,0.0,0.0,0.0,0.0
78.544643,39.222593,0.0,0.0,0.0,0.0
78.597897,35.16542,0.0,0.0,0.0,0.0
78.598475,42.011188,0.0,0.0,0.0,0.0
78.641035,38.656738,0.0,0.0,0.0,0.0
78.645417,42.638191,0.0,0.0,0.0,0.0
78.661046,41.399841,0.0,0.0,0.0,0.0
78.754421,38.505786,0.0,0.0,0.0,0.0
78.764613,45.492612,0.0,0.0,0.0,0.0
78.822737,37.632631,0.0,0.0,0.0,0.0
78.870046,40.586834,0.0,0.0,0.0,0.0
78.873036,37.964877,0.0,0.0,0.0,0.0
78.909835,35.635396,0.0,0.0,0.0,0.0
79.018891,37.728713,0.0,0.0,0.0,0.0
79.041462,39.577062,0.0,0.0,0.0,0.0
79.047544,31.655286,0.0,0.0,0.0,0.0
79.04821,31.276338,0.0,0.0,0.0,0.0
79.070627,42.847766,0.0,0.0,0.0,0.0
79.09714,38.192005,0.0,0.0,0.0,0.0
79.261517,39.844786,0.0,0.0,0.0,0.0
79.274987,41.543543,0.0,0.0,0.0,0.0
79.298422,42.91073,0.0,0.0,0.0,0.0
79.342473,56.720593,0.0,0.0,0.0,0.0
79.344652,46.351858,0.0,0.0,0.0,0.0
79.366105,40.657941,0.0,0.0,0.0,0.0
79.368704,37.359645,0.0,0.0,0.0,0.0
79.403922,38.268868,0.0,0.0,0.0,0.0
79.4082,47.593282,0.0,0.0,0.0,0.0
79.496691,39.998042,0.0,0.0,0.0,0.0
79.529976,34.140729,0.0,0.0,0.0,0.0
79.597704,33.98453,0.0,0.0,0.0,0.0
79.600567,75.320672,0.0,0.0,0.0,0.0
79.614123,37.352918,0.0,0.0,0.0,0.0
79.665856,36.358098,0.0,0.0,0.0,0.0
79.676394,38.64039,0.0,0.0,0.0,0.0
79.698404,41.204439,0.0,0.0,0.0,0.0
79.704055,45.981913,0.0,0.0,0.0,0.0
79.716626,32.484225,0.0,0.0,0.0,0.0
79.800731,37.132898,0.0,0.0,0.0,0.0
79.844103,35.862852,0.0,0.0,0.0,0.0
79.857975,39.007329,0.0,0.0,0.0,0.0
79.897837,34.657082,0.0,0.0,0.0,0.0
79.900801,35.835409,0.0,0.0,0.0,0.0
